Tai khoan: cntt510@gmail.com, Ma the: 12345678915623, Seri: 12345678915623, Noi dung loi: Bạn nạp sai liên tiếp nhiều lần. Vui lòng thử lại trong ít phút., Thoi gian: 1581056744
Tai khoan: cntt510@gmail.com, Ma the: 12345678915623, Seri: 12345678915623, Noi dung loi: Bạn nạp sai liên tiếp nhiều lần. Vui lòng thử lại trong ít phút., Thoi gian: 1581056778
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891564, Seri: 1234567891564, Noi dung loi: Nạp thẻ thất bại.Sai thông tin thẻ. Vui lòng kiểm tra lại, Thoi gian: 1581057449
Tai khoan: khanhkuku99@gmail.com, Ma the: 909275, Seri: 123112, Noi dung loi: Seri thẻ Viettel không hợp lệ. Phải từ 11 đến 15 ký tự số . Hiện tại :6, Thoi gian: 1581057550
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891234, Seri: 1234567891234, Noi dung loi: Hệ thống quá tải hoặc giao dịch thẻ trễ. Vui lòng cung cấp cho Admin Seri thẻ để check lại thông tin., Thoi gian: 1581058045
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891234, Seri: 1234567891234, Noi dung loi: Nạp thẻ thất bại.Sai thông tin thẻ. Vui lòng kiểm tra lại, Thoi gian: 1581058076
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891234, Seri: 1234567891234, Noi dung loi: Nạp thẻ thất bại.Sai thông tin thẻ. Vui lòng kiểm tra lại, Thoi gian: 1581058232
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891234, Seri: 1234567891234, Noi dung loi: Thẻ đang xử lý hoặc đã được nạp thử trước rồi . Vui lòng thử thẻ khác., Thoi gian: 1581058304
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891231, Seri: 123456789123, Noi dung loi: Bạn nạp sai liên tiếp nhiều lần. Vui lòng thử lại trong ít phút., Thoi gian: 1581060414
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891231, Seri: 123456789123, Noi dung loi: Bạn nạp sai liên tiếp nhiều lần. Vui lòng thử lại trong ít phút., Thoi gian: 1581060481
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891231, Seri: 123456789123, Noi dung loi: Bạn nạp sai liên tiếp nhiều lần. Vui lòng thử lại trong ít phút., Thoi gian: 1581060510
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891231, Seri: 123456789123, Noi dung loi: Bạn nạp sai liên tiếp nhiều lần. Vui lòng thử lại trong ít phút., Thoi gian: 1581060535
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891231, Seri: 123456789123, Noi dung loi: Bạn nạp sai liên tiếp nhiều lần. Vui lòng thử lại trong ít phút., Thoi gian: 1581060553
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891234, Seri: 1234567891234, Noi dung loi: Thẻ đang xử lý hoặc đã được nạp thử trước rồi . Vui lòng thử thẻ khác., Thoi gian: 1581060589
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891234, Seri: 1234567891234, Noi dung loi: Thẻ đang xử lý hoặc đã được nạp thử trước rồi . Vui lòng thử thẻ khác., Thoi gian: 1581060663
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891234, Seri: 1234567891234, Noi dung loi: Thẻ đang xử lý hoặc đã được nạp thử trước rồi . Vui lòng thử thẻ khác., Thoi gian: 1581060688
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891231, Seri: 123456789123, Noi dung loi: Nạp thẻ thất bại.Sai thông tin thẻ. Vui lòng kiểm tra lại, Thoi gian: 1581060990
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891231, Seri: 123456789123, Noi dung loi: Nạp thẻ thất bại.Sai thông tin thẻ. Vui lòng kiểm tra lại, Thoi gian: 1581061042
Tai khoan: khanhkuku99@gmail.com, Ma the: 123456789123456, Seri: 123456789123456, Noi dung loi: Nạp thẻ thất bại.Sai thông tin thẻ. Vui lòng kiểm tra lại, Thoi gian: 1581061492
Tai khoan: khanhkuku99@gmail.com, Ma the: 123456789123456, Seri: 123456789123456, Noi dung loi: Nạp thẻ thất bại.Sai thông tin thẻ. Vui lòng kiểm tra lại, Thoi gian: 1581061510
Tai khoan: khanhkuku99@gmail.com, Ma the: 811957079262324, Seri: 10005916333930, Noi dung loi: Thẻ cào này đã nạp thành công rồi. Vui lòng nạp thẻ khác., Thoi gian: 1581061838
Tai khoan: khanhkuku99@gmail.com, Ma the: 1234567891234, Seri: 1234567891234, Noi dung loi: Thẻ đang xử lý hoặc đã được nạp thử trước rồi . Vui lòng thử thẻ khác., Thoi gian: 1581095467
